Combined Feature,Weight,Class,Feature,l1,l2,dist,dist_pix,a,angl
correlation_test_dist_4_angl_1,-0.040256171086425,Class 0,correlation,test,dist,4,5,angl,1
dissimilarity_test_dist_4_angl_4,-0.005706297826072,Class 0,dissimilarity,test,dist,4,5,angl,4
mean_test_dist_4_angl_2,0.003209571059611,Class 0,mean,test,dist,4,5,angl,2
variance_test_dist_4_angl_4,0.008110516842287,Class 0,variance,test,dist,4,5,angl,4
contrast_test_dist_4_angl_3,0.0098919257836,Class 0,contrast,test,dist,4,5,angl,3
std_test_dist_4_angl_1,0.013948423111631,Class 0,std,test,dist,4,5,angl,1
ASM_test_dist_4_angl_3,0.02318416596874,Class 0,ASM,test,dist,4,5,angl,3
contrast_test_dist_4_angl_1,0.028464007445625,Class 0,contrast,test,dist,4,5,angl,1
correlation_test_dist_4_angl_2,0.032081375613233,Class 0,correlation,test,dist,4,5,angl,2
entropy_test_dist_4_angl_3,0.037037903549737,Class 0,entropy,test,dist,4,5,angl,3
std_test_dist_4_angl_2,0.041463608359004,Class 0,std,test,dist,4,5,angl,2
ASM_test_dist_4_angl_4,0.049619435831034,Class 0,ASM,test,dist,4,5,angl,4
dissimilarity_test_dist_4_angl_1,0.055814456565176,Class 0,dissimilarity,test,dist,4,5,angl,1
dissimilarity_test_dist_4_angl_3,0.057406142615006,Class 0,dissimilarity,test,dist,4,5,angl,3
homogeneity_test_dist_4_angl_3,0.065935363576917,Class 0,homogeneity,test,dist,4,5,angl,3
entropy_test_dist_4_angl_4,0.073924197424024,Class 0,entropy,test,dist,4,5,angl,4
energy_test_dist_4_angl_4,0.074475934565017,Class 0,energy,test,dist,4,5,angl,4
std_test_dist_4_angl_4,0.106101882110859,Class 0,std,test,dist,4,5,angl,4
dissimilarity_test_dist_4_angl_2,0.107274433587031,Class 0,dissimilarity,test,dist,4,5,angl,2
correlation_test_dist_4_angl_3,0.10977715866485,Class 0,correlation,test,dist,4,5,angl,3
std_test_dist_4_angl_3,0.128852854478353,Class 0,std,test,dist,4,5,angl,3
mean_test_dist_4_angl_3,0.13750510556161,Class 0,mean,test,dist,4,5,angl,3
variance_test_dist_4_angl_2,0.141396677773109,Class 0,variance,test,dist,4,5,angl,2
homogeneity_test_dist_4_angl_4,0.187608557812232,Class 0,homogeneity,test,dist,4,5,angl,4
ASM_test_dist_4_angl_1,0.243924540539984,Class 0,ASM,test,dist,4,5,angl,1
energy_test_dist_4_angl_1,0.353365560340951,Class 0,energy,test,dist,4,5,angl,1
entropy_test_dist_4_angl_1,0.39268564956442,Class 0,entropy,test,dist,4,5,angl,1
energy_test_dist_4_angl_2,0.407501408737697,Class 0,energy,test,dist,4,5,angl,2
mean_test_dist_5_angl_2,-0.564161271902313,Class 0,mean,test,dist,5,2,angl,2
energy_test_dist_5_angl_3,-0.285911504388289,Class 0,energy,test,dist,5,2,angl,3
variance_test_dist_5_angl_2,-0.235456620696519,Class 0,variance,test,dist,5,2,angl,2
ASM_test_dist_5_angl_1,-0.217042684380784,Class 0,ASM,test,dist,5,2,angl,1
contrast_test_dist_5_angl_4,-0.179140360257704,Class 0,contrast,test,dist,5,2,angl,4
entropy_test_dist_5_angl_1,-0.177488536830349,Class 0,entropy,test,dist,5,2,angl,1
correlation_test_dist_5_angl_1,-0.155380860019489,Class 0,correlation,test,dist,5,2,angl,1
variance_test_dist_5_angl_4,-0.147499449567379,Class 0,variance,test,dist,5,2,angl,4
mean_test_dist_5_angl_4,-0.106756588274092,Class 0,mean,test,dist,5,2,angl,4
ASM_test_dist_5_angl_3,-0.101317972071891,Class 0,ASM,test,dist,5,2,angl,3
correlation_test_dist_5_angl_4,-0.082377430695144,Class 0,correlation,test,dist,5,2,angl,4
mean_test_dist_5_angl_3,-0.080431291223559,Class 0,mean,test,dist,5,2,angl,3
energy_test_dist_5_angl_2,-0.060375292001103,Class 0,energy,test,dist,5,2,angl,2
