name,d,a,Dist_pix,Angle_rad,ROC_precise,ROC,bias,ASM,contrast,correlation,dissimilarity,energy,entropy,homogeneity,mean,std,variance
n_t_d_11_a_3_SVM_C_1_k_linear,[8],[0.78539816],8,0.78539816,0.731359069275516,0.73,-0.029448295096612,-0.042127475738303,-0.446108646055211,0.582678536646867,0.878075607472752,-0.303420832515472,-0.020647773391607,0.300312890955235,-1.66504485037268,2.21970169641905,-0.771321504427814
n_t_d_12_a_3_SVM_C_1_k_linear,[9],[0.78539816],9,0.78539816,0.731359069275516,0.73,-0.029448295096612,-0.042127475738303,-0.446108646055211,0.582678536646867,0.878075607472752,-0.303420832515472,-0.020647773391607,0.300312890955235,-1.66504485037268,2.21970169641905,-0.771321504427814
n_t_d_15_a_1_SVM_C_1_k_linear,[13],[0],13,0,0.732416710735061,0.73,-0.0275880685235,-0.201101270856051,-0.980017852432643,0.071777364307252,1.2156759100929,-0.251816356997947,-0.668362408848792,0.009729524037617,-1.24917600084245,2.24313081236831,-0.526962014891133
n_t_d_16_a_3_SVM_C_1_k_linear,[14],[0.78539816],14,0.78539816,0.733474352194606,0.73,-0.059897067587348,0.240808771594094,-0.84330448325285,0.448962569954219,1.18124734946925,-0.201011892469536,-0.056684781188337,0.024108256761736,-1.51255807141868,2.32021393668973,-0.758833750202694
n_t_d_16_a_1_SVM_C_1_k_linear,[14],[0],14,0,0.733474352194606,0.73,-0.026123754706798,-0.178330653928225,-1.00543881008281,0.04624337966337,1.18932983165431,-0.208016465502424,-0.627037345696204,-0.024721104782395,-1.2413440721422,2.28285188147059,-0.516461524556888
n_t_d_6_a_1_SVM_C_1_k_linear,[4],[0],4,0,0.734003172924379,0.73,-0.083015013469149,0.118969970002452,-0.538366501586058,1.05463354997495,1.3816988733907,-0.076960153181208,-0.172460847781022,-0.31554585135283,-2.27994022703418,1.85942949164625,-0.469655456012581
n_t_d_8_a_1_SVM_C_1_k_linear,[15],[0],15,0,0.734003172924379,0.73,-0.026962613180326,-0.193251780908924,-0.991793200542518,0.04043797408731,1.1822630033846,-0.211122455645171,-0.580115999918726,0.041282700344783,-1.22145627951657,2.28042298018432,-0.535876234937297
n_t_d_8_a_3_SVM_C_1_k_linear,[15],[0.78539816],15,0.78539816,0.735060814383924,0.74,-0.052042195934421,0.24221306256493,-0.849109309577608,0.427796594903086,1.24453767239288,-0.159970002823445,-0.06561660198336,-0.026539258619123,-1.51681878855508,2.27687865536705,-0.741501757279508
n_t_d_1_a_1_SVM_C_1_k_linear,[1],[0],1,0,0.737176097303014,0.74,-0.080171908151826,-0.09855490815731,-0.383211567140185,1.04383745927272,1.15295460147824,-0.2928277803157,-0.380587229852296,0.084940011718886,-1.9710136394653,1.81545552546863,-0.534122790507237
n_t_d_10_a_3_SVM_C_1_k_linear,[7],[0.78539816],7,0.78539816,0.737704918032787,0.74,-0.051583979959743,-0.026134549659789,-0.490348636693258,0.587749477753332,0.848729819130388,-0.275916557313351,-0.057291943408276,0.275729254846983,-1.5827919747796,2.2466454232554,-0.782264379183505
